Carrier,Origin_City,Origin_State,Origin,Dest_City,Dest_State,Destination,Miles,Origin_Lat,Origin_Lon,Dest_Lat,Dest_Lon
Trinity County Transportation Commission,Weaverville,CA,"Weaverville, CA",Redding,CA,"Redding, CA",44,40.7309778,-122.94197080000001,40.5865396,-122.3916754
Cascade East Transit,Madras,OR,"Madras, OR",Redmond,OR,"Redmond, OR",26,44.6334544,-121.1294872,44.2726203,-121.1739212
Cascade East Transit,Prineville,OR,"Prineville, OR",Redmond,OR,"Redmond, OR",20,44.2998485,-120.8344664,44.2726203,-121.1739212
Cascade East Transit,Sisters,OR,"Sisters, OR",Redmond,OR,"Redmond, OR",20,44.2909491,-121.5492118,44.2726203,-121.1739212
MT. Hood Express,Sandy,OR,"Sandy, OR",Rhododendron,OR,"Rhododendron, OR",19,45.3973427,-122.2614761,45.3295632,-121.9111906
Rochester City Lines (MN),Bloomington,MN,"Bloomington, MN",Rochester,MN,"Rochester, MN",82,44.840798,-93.2982799,44.0216306,-92.4698992
Rochester Genesee Regional Transportation Authority (NY),Lyons,NY,"Lyons, NY",Rochester,NY,"Rochester, NY",40,43.0642305,-76.9902456,43.1547845,-77.6155568
Envida,Colorado Springs,CO,"Colorado Springs, CO",Rush,CO,"Rush, CO",40,38.8338816,-104.8213634,38.8399934,-104.0921799
Cherriots (OR),Mill City,OR,"Mill City, OR",Salem,OR,"Salem, OR",35,44.7540106,-122.4781385,44.9428975,-123.0350963
SunLine Transit Agency,Indio,CA,"Indio, CA",San Bernardino,CA,"San Bernardino, CA",92,33.7205771,-116.2155619,34.1083449,-117.2897652
Santa Cruz Metro,Santa Cruz,CA,"Santa Cruz, CA",San Jose,CA,"San Jose, CA",25.5,36.9741171,-122.0307963,37.3393857,-121.8949555
San Luis Obispo RTA,Paso Robles,CA,"Paso Robles, CA",San Luis Obispo,CA,"San Luis Obispo, CA",24,35.6266369,-120.6910043,35.2827524,-120.6596156
Yuma County Intergovernmental Public Transportation Authority,Yuma,AZ,"Yuma, AZ",San Luis,AZ,"San Luis, AZ",32,32.7253249,-114.624397,32.3467328,-112.0409692
